Market,Selection,Odds,matchup,timestamp
Handicap – Game,North Macedonia -24.0,1.909,North Macedonia vs Azerbaijan,2025-11-27 17:29:41
Handicap – Game,Azerbaijan +24.0,1.757,North Macedonia vs Azerbaijan,2025-11-27 17:29:41
Total – Game,Over 156.5,1.84,North Macedonia vs Azerbaijan,2025-11-27 17:29:41
Total – Game,Under 156.5,1.826,North Macedonia vs Azerbaijan,2025-11-27 17:29:41
Money Line – Game,Luxembourg,2.75,Luxembourg vs Ireland,2025-11-27 17:29:41
Money Line – Game,Ireland,1.398,Luxembourg vs Ireland,2025-11-27 17:29:41
Handicap – Game,Luxembourg +5.5,1.854,Luxembourg vs Ireland,2025-11-27 17:29:41
Handicap – Game,Ireland -5.5,1.884,Luxembourg vs Ireland,2025-11-27 17:29:41
Total – Game,Over 157.5,1.877,Luxembourg vs Ireland,2025-11-27 17:29:41
Total – Game,Under 157.5,1.862,Luxembourg vs Ireland,2025-11-27 17:29:41
Handicap – Game,North Macedonia -23.0,1.854,North Macedonia vs Azerbaijan,2025-11-27 17:46:14
Handicap – Game,Azerbaijan +23.0,1.813,North Macedonia vs Azerbaijan,2025-11-27 17:46:14
Total – Game,Over 156.5,1.862,North Macedonia vs Azerbaijan,2025-11-27 17:46:14
Total – Game,Under 156.5,1.8,North Macedonia vs Azerbaijan,2025-11-27 17:46:14
Money Line – Game,Luxembourg,2.75,Luxembourg vs Ireland,2025-11-27 17:46:14
Money Line – Game,Ireland,1.398,Luxembourg vs Ireland,2025-11-27 17:46:14
Handicap – Game,Luxembourg +5.5,1.854,Luxembourg vs Ireland,2025-11-27 17:46:14
Handicap – Game,Ireland -5.5,1.884,Luxembourg vs Ireland,2025-11-27 17:46:14
Total – Game,Over 157.5,1.877,Luxembourg vs Ireland,2025-11-27 17:46:14
Total – Game,Under 157.5,1.862,Luxembourg vs Ireland,2025-11-27 17:46:14
Handicap – Game,North Macedonia -23.0,1.84,North Macedonia vs Azerbaijan,2025-11-27 17:58:51
Handicap – Game,Azerbaijan +23.0,1.826,North Macedonia vs Azerbaijan,2025-11-27 17:58:51
Total – Game,Over 156.5,1.862,North Macedonia vs Azerbaijan,2025-11-27 17:58:51
Total – Game,Under 156.5,1.806,North Macedonia vs Azerbaijan,2025-11-27 17:58:51
Money Line – Game,Luxembourg,2.75,Luxembourg vs Ireland,2025-11-27 17:58:51
Money Line – Game,Ireland,1.398,Luxembourg vs Ireland,2025-11-27 17:58:51
Handicap – Game,Luxembourg +5.5,1.854,Luxembourg vs Ireland,2025-11-27 17:58:51
Handicap – Game,Ireland -5.5,1.884,Luxembourg vs Ireland,2025-11-27 17:58:51
Total – Game,Over 157.5,1.877,Luxembourg vs Ireland,2025-11-27 17:58:51
Total – Game,Under 157.5,1.862,Luxembourg vs Ireland,2025-11-27 17:58:51
Money Line – Game,Norway,2.09,Norway vs Bulgaria,2026-02-27 18:03:57
Money Line – Game,Bulgaria,1.684,Norway vs Bulgaria,2026-02-27 18:03:57
Handicap – Game,Norway +2.5,1.854,Norway vs Bulgaria,2026-02-27 18:03:57
Handicap – Game,Bulgaria -2.5,1.884,Norway vs Bulgaria,2026-02-27 18:03:57
Total – Game,Over 156.5,1.952,Norway vs Bulgaria,2026-02-27 18:03:57
Total – Game,Under 156.5,1.793,Norway vs Bulgaria,2026-02-27 18:03:57
Money Line – Game,Ireland,1.049,Ireland vs Azerbaijan,2026-02-27 18:03:57
Money Line – Game,Azerbaijan,7.27,Ireland vs Azerbaijan,2026-02-27 18:03:57
Handicap – Game,Ireland -15.5,1.847,Ireland vs Azerbaijan,2026-02-27 18:03:57
Handicap – Game,Azerbaijan +15.5,1.892,Ireland vs Azerbaijan,2026-02-27 18:03:57
Total – Game,Over 158.5,1.869,Ireland vs Azerbaijan,2026-02-27 18:03:57
Total – Game,Under 158.5,1.869,Ireland vs Azerbaijan,2026-02-27 18:03:57
Money Line – Game,Azerbaijan,5.0,Azerbaijan vs North Macedonia,2026-03-02 04:11:13
Money Line – Game,North Macedonia,1.117,Azerbaijan vs North Macedonia,2026-03-02 04:11:13
Handicap – Game,Azerbaijan +12.0,1.847,Azerbaijan vs North Macedonia,2026-03-02 04:11:13
Handicap – Game,North Macedonia -12.0,1.892,Azerbaijan vs North Macedonia,2026-03-02 04:11:13
Total – Game,Over 151.5,1.84,Azerbaijan vs North Macedonia,2026-03-02 04:11:13
Total – Game,Under 151.5,1.9,Azerbaijan vs North Macedonia,2026-03-02 04:11:13
Money Line – Game,Armenia,3.48,Armenia vs Bulgaria,2026-03-02 04:11:13
Money Line – Game,Bulgaria,1.249,Armenia vs Bulgaria,2026-03-02 04:11:13
Handicap – Game,Armenia +8.0,1.833,Armenia vs Bulgaria,2026-03-02 04:11:13
Handicap – Game,Bulgaria -8.0,1.909,Armenia vs Bulgaria,2026-03-02 04:11:13
Total – Game,Over 163.5,1.884,Armenia vs Bulgaria,2026-03-02 04:11:13
Total – Game,Under 163.5,1.847,Armenia vs Bulgaria,2026-03-02 04:11:13
Money Line – Game,Albania,6.41,Albania vs Slovakia,2026-03-02 04:11:13
Money Line – Game,Slovakia,1.066,Albania vs Slovakia,2026-03-02 04:11:13
